studyID,esID,dint,vi,YofPub,group.name,cont.type,time,treatments,cf.timely,ssci,setting,ed.level,Age,profic,motivation,Ss.aware,random.grp,equiv.grp,rel.inter,rel.intra,genre,sourced,timed,Location,Length,instruction,graded,acc.measure,cf.training,error.type,cf.scope,cf.type,error.key,cf.provider,cf.revision,cf.oral,post_id,outcome_id,n_outcome
Al.Ahm_Al.Jar,1,0.5337337310501824,0.18401803460250435,2015,NA,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,1,1,1
Al.Ahm_Al.Jar,2,0.2961165992396652,0.16928859785404643,2015,NA,1,1,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,1,1,1
Al.Ahm_Al.Jar,3,-0.15538637100142305,0.18257048204912818,2015,NA,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,0,88,0,0,0,2,1,1
Al.Ahm_Al.Jar,4,0.1310153344033681,0.19938941715602237,2015,NA,1,4,2,1,0,2,2,2,1,99,99,0,0,1,0,5,0,1,0,99,1,99,1,99,3,2,8,88,0,0,1,2,1,1
Al_Ajmi,5,3.4442268179651183,0.2972672223583448,2015,NA,1,1,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,1,1,1
Al_Ajmi,6,4.376457432982212,0.5181753291192867,2015,NA,1,2,2,0,0,2,2,2,1,99,99,0,1,1,0,6,0,99,99,0,99,99,4,99,2,2,8,88,0,99,1,2,1,1
Bitc_Knch_a,7,0.8740107380022966,0.1378058368063456,2008,NA,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1,1,1,1
Bitc_Knch_a,8,1.2853969517056547,0.16268095376045183,2008,NA,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0,1,1,1
Bitc_Knch_a,9,1.3816043075105007,0.1581412113920027,2008,NA,0,1,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0,1,1,1
Bitc_Knch_a,10,0.3954439071950804,0.14478618496965184,2008,NA,0,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,1,2,1,1
Bitc_Knch_a,11,0.6841215446138499,0.1594432913158299,2008,NA,0,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,8,88,99,2,0,2,1,1
Bitc_Knch_a,12,0.8404898040638281,0.16000489974614876,2008,NA,0,4,1,1,1,1,2,2,1,99,1,0,1,1,0,5,0,1,0,99,99,99,1,99,1,2,0,88,99,2,0,2,1,1
Bitc_Knch_b,13,0.6852566791115671,0.19787129733799808,2010,NA,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0,1,1,1
Bitc_Knch_b,14,0.2844568970678067,0.1232682651801828,2010,NA,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0,1,1,1
Bitc_Knch_b,15,0.9329020388086265,0.22140674046804382,2010,NA,0,1,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1,1,1,1
Bitc_Knch_b,16,0.7230505480099867,0.19753209967178453,2010,NA,0,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,0,2,1,1
Bitc_Knch_b,17,0.2600379725204191,0.12219492571976115,2010,NA,0,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,1,88,99,2,0,2,1,1
Bitc_Knch_b,18,1.075747787680539,0.2329948376000862,2010,NA,0,4,1,1,1,1,2,2,2,2,1,0,1,1,0,5,0,1,0,99,0,99,1,99,1,2,3,88,99,2,1,2,1,1
Bitc_Knch_c,19,2.2358004887215817,0.4892461380419725,2010,NA,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,1,1,1
Bitc_Knch_c,20,1.2856505005234031,0.29269709017683276,2010,NA,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,1,1,1
Bitc_Knch_c,21,0.7416194176470718,0.21973921916197378,2010,NA,0,1,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,1,1,1
Bitc_Knch_c,22,1.774779307643866,0.2790777555421883,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,2,1,1
Bitc_Knch_c,23,1.5274992935786356,0.2436834523024073,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,2,1,1
Bitc_Knch_c,24,1.3294902664391322,0.2196347820659592,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,2,1,1
Bitc_Knch_c,25,1.7495243758989092,0.326825891010503,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,3,1,1
Bitc_Knch_c,26,1.4025309810193178,0.26915099102465184,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,3,1,1
Bitc_Knch_c,27,0.9319114404155258,0.20966380780655186,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,3,1,1
Bitc_Knch_c,28,2.5361717556847276,0.44854158168545605,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,1,99,1,0,1,2,8,88,99,0,1,4,1,1
Bitc_Knch_c,29,1.9821143517420339,0.33081474457710247,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,8,88,99,0,0,4,1,1
Bitc_Knch_c,30,1.316569345095978,0.22892237178833186,2010,NA,0,4,1,1,1,1,2,2,1,99,1,1,1,1,0,5,0,1,0,99,0,99,1,0,1,2,0,88,99,0,0,4,1,1
Bitc_Yng_Cmrn,31,0.6592804044565319,0.11858792056831996,2005,NA,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,8,88,1,99,1,1,1,3
Bitc_Yng_Cmrn,32,-0.49357928745492424,0.14461822087132928,2005,NA,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,2,1,0,88,1,99,0,1,1,3
Bitc_Yng_Cmrn,33,-0.5156585883529109,0.12026242360839234,2005,NA,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,8,88,1,99,1,1,2,3
Bitc_Yng_Cmrn,34,-0.697550641162445,0.1278013048911932,2005,NA,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,3,1,0,88,1,99,0,1,2,3
Bitc_Yng_Cmrn,35,0.9476398616150203,0.12756007986434592,2005,NA,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,8,88,1,99,1,1,3,3
Bitc_Yng_Cmrn,36,0.01102996855602456,0.12361331152717084,2005,NA,1,3,3,99,1,1,3,2,1,99,99,0,99,1,0,6,0,1,0,2,2,1,1,99,1,1,0,88,1,99,0,1,3,3
