studyID,esID,yi,vi,time,treatments,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed
Al.Ahm_Al.Jar,1,1.680745625615212,0.20817126650047446,1,2,2,0,88,3,2,1,0,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,2,4.122056714072159,0.48060291450052633,1,2,2,8,88,3,2,1,1,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,3,2.600443307919345,0.28389048841735587,1,2,2,0,88,3,2,1,0,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,4,3.4571939101406146,0.38369595639064136,1,2,2,8,88,3,2,1,1,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,5,1.5462929360636377,0.19982734315615971,4,2,2,0,88,3,2,1,0,99,2,99,1,99,5,0,1
Al.Ahm_Al.Jar,6,3.07152281904902,0.33527408515267,4,2,2,8,88,3,2,1,1,99,2,99,1,99,5,0,1
Al_Ajmi,7,0.21953723383568044,0.08048196597040222,1,2,2,8,88,2,2,1,1,99,2,1,99,99,6,99,99
Al_Ajmi,8,3.5450271783219023,0.2056721769504095,1,2,2,8,88,2,2,1,1,99,2,1,99,99,6,99,99
Al_Ajmi,9,4.454426724878463,0.2784191744731147,2,2,2,8,88,2,2,1,1,99,2,1,99,99,6,99,99
Bitc_Knch_a,10,0.6241260351123133,0.11408749302940006,1,1,1,8,88,1,2,1,1,99,2,99,99,99,5,2,1
Bitc_Knch_a,11,0.04659717662195548,0.1055841252512021,1,1,1,8,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,12,0.3058109199887405,0.10116900398480451,1,1,1,0,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,13,1.479993000347563,0.13842324942632933,1,1,1,8,88,1,2,1,1,99,2,99,99,99,5,2,1
Bitc_Knch_a,14,1.2003201851966496,0.12451303643700976,1,1,1,8,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,15,1.4825086666880543,0.12747289933506492,1,1,1,0,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,16,1.0536873449773485,0.12382700266805409,4,1,1,8,88,1,2,1,1,99,2,99,99,99,5,2,1
Bitc_Knch_a,17,0.6384363681859938,0.11091872655848348,4,1,1,8,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_a,18,0.9981100858058121,0.11245279679234108,4,1,1,0,88,1,2,1,0,99,2,99,99,99,5,2,1
Bitc_Knch_b,19,0.1285553347125519,0.16701096821006367,1,1,1,3,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,20,0.5564311814826154,0.12433980190532087,1,1,1,1,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,21,-0.22264933731087572,0.1676994318209369,1,1,1,3,88,1,2,2,1,99,2,99,0,99,5,2,1
Bitc_Knch_b,22,1.3635308549765621,0.20540034150985653,1,1,1,3,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,23,1.160725169498919,0.13764322830765618,1,1,1,1,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,24,1.1399680410232331,0.1937401486365489,1,1,1,3,88,1,2,2,1,99,2,99,0,99,5,2,1
Bitc_Knch_b,25,1.1259995609709443,0.19308072940222415,4,1,1,3,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,26,0.7768894699465166,0.12810828381285472,4,1,1,1,88,1,2,2,0,99,2,99,0,99,5,2,1
Bitc_Knch_b,27,0.9947871626419021,0.1872833645616068,4,1,1,3,88,1,2,2,1,99,2,99,0,99,5,2,1
Bitc_Knch_c,28,0.14741562747443418,0.15426406475430157,1,1,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,29,-0.24938499807453426,0.15504217071662763,1,1,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,30,-0.024375352321702286,0.15385757995770782,1,1,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,31,1.3205241408985506,0.187380461667228,1,1,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,32,0.9595189873406272,0.17155147475129198,1,1,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,33,0.6415994252495492,0.16176249658616446,1,1,1,0,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,34,1.282426259631969,0.18547340598833928,4,1,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,35,1.3225661104315733,0.18748425223965579,4,1,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,36,2.1504842415768946,0.24278043217827983,4,1,1,8,88,1,2,1,1,0,2,99,1,99,5,0,1
Bitc_Knch_c,37,1.2024242958442435,0.18165046513916394,4,1,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,38,1.2028682675160267,0.18167100132686553,4,1,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
Bitc_Knch_c,39,2.2359600954466314,0.24999072208518672,4,1,1,8,88,1,2,1,0,0,2,99,0,99,5,0,1
