study.name,year,group.name,n,d.pair,t.pair,df.pair,mdif.pair,sdif,stder.pair,mpre,sdpre,mpos,sdpos,r.prepos,rev.sign,rev.group,autoreg,post,control,outcome,time,control_type,measure
Al_Ajmi,2015,NA,25,NA,NA,NA,NA,NA,NA,1.68,1.069,7.4,2.217,NA,NA,NA,NA,1,NA,1,1,1,1
Al_Ajmi,2015,NA,25,NA,NA,NA,NA,NA,NA,1.68,1.069,8.08,1.754,NA,NA,NA,NA,2,NA,1,2,1,1
Al_Ajmi,2015,NA,25,NA,NA,NA,NA,NA,NA,1.44,1.083,1.08,1.115,NA,NA,NA,NA,1,TRUE,1,1,1,1
Al_Ajmi,2015,NA,25,NA,NA,NA,NA,NA,NA,1.44,1.083,1.48,1.085,NA,NA,NA,NA,2,TRUE,1,2,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al.Ahm_Al.Jar,2015,NA,13,NA,NA,NA,NA,NA,NA,60.348,21.54,74.312,11.36,NA,NA,NA,NA,1,NA,1,1,1,1
Al.Ahm_Al.Jar,2015,NA,13,NA,NA,NA,NA,NA,NA,60.348,21.54,68.874,14.98,NA,NA,NA,NA,2,NA,1,4,1,1
Al.Ahm_Al.Jar,2015,NA,13,NA,NA,NA,NA,NA,NA,82.924,11.38,88.662,11.8,NA,NA,NA,NA,1,NA,1,1,1,1
Al.Ahm_Al.Jar,2015,NA,13,NA,NA,NA,NA,NA,NA,82.924,11.38,90.29,8.4,NA,NA,NA,NA,2,NA,1,4,1,1
Al.Ahm_Al.Jar,2015,NA,13,NA,NA,NA,NA,NA,NA,28.899,13.88,32.521,18.85,NA,NA,NA,NA,1,TRUE,1,1,1,1
Al.Ahm_Al.Jar,2015,NA,13,NA,NA,NA,NA,NA,NA,28.899,13.88,39.895,20.84,NA,NA,NA,NA,2,TRUE,1,4,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitc_Knch_a,2008,NA,17,NA,NA,NA,NA,NA,NA,67.59,19.26,82.53,14.33,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_a,2008,NA,17,NA,NA,NA,NA,NA,NA,67.59,19.26,82.65,15.47,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_a,2008,NA,18,NA,NA,NA,NA,NA,NA,53.11,21.73,77.5,16.07,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_a,2008,NA,18,NA,NA,NA,NA,NA,NA,53.11,21.73,76.78,20.67,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_a,2008,NA,20,NA,NA,NA,NA,NA,NA,59.35,18.39,81.25,13,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_a,2008,NA,20,NA,NA,NA,NA,NA,NA,59.35,18.39,80.05,12.09,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_a,2008,NA,20,NA,NA,NA,NA,NA,NA,51.9,28.32,52.75,23.26,NA,NA,NA,NA,1,TRUE,1,1,0,1
Bitc_Knch_a,2008,NA,20,NA,NA,NA,NA,NA,NA,51.9,28.32,63.9,18.89,NA,NA,NA,NA,2,TRUE,1,4,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitc_Knch_b,2010,NA,12,NA,NA,NA,NA,NA,NA,87.08,13.22,95.92,5.48,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_b,2010,NA,12,NA,NA,NA,NA,NA,NA,87.08,13.22,96.25,4,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_b,2010,NA,27,NA,NA,NA,NA,NA,NA,90.59,8.79,93.18,4.71,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_b,2010,NA,27,NA,NA,NA,NA,NA,NA,90.59,8.79,92.76,6.8,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_b,2010,NA,12,NA,NA,NA,NA,NA,NA,83.08,12.49,94.17,5.15,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_b,2010,NA,12,NA,NA,NA,NA,NA,NA,83.08,12.49,95.33,5.09,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_b,2010,NA,12,NA,NA,NA,NA,NA,NA,85.58,8.89,86.17,8.08,NA,NA,NA,NA,1,TRUE,1,1,0,1
Bitc_Knch_b,2010,NA,12,NA,NA,NA,NA,NA,NA,85.58,8.89,85.92,11.87,NA,NA,NA,NA,2,TRUE,1,4,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,62.46,11.98,89.23,8.22,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,62.46,11.98,79.61,10.29,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,62.46,11.98,84.31,12.33,NA,NA,NA,NA,3,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,62.46,11.98,88.38,9.53,NA,NA,NA,NA,4,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,55.31,20.08,83.77,10.36,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,55.31,20.08,78.46,11.04,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,55.31,20.08,81.69,10.93,NA,NA,NA,NA,3,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,55.31,20.08,88.77,8.55,NA,NA,NA,NA,4,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,59.69,20.45,79.15,14.27,NA,NA,NA,NA,1,NA,1,1,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,59.69,20.45,79.84,13.74,NA,NA,NA,NA,2,NA,1,4,0,1
Bitc_Knch_c,2010,NA,13,NA,NA,NA,NA,NA,NA,59.69,20.45,78.31,13.41,NA,NA,NA,NA,3,NA,1,4,0,1
