study.name,group,n,mpre,sdpre,mpos,sdpos,post,control,outcome,time_wk,treats
Al_Ajmi,1,25,1.68,1.069,7.4,2.217,1,FALSE,1,0,2
Al_Ajmi,1,25,1.68,1.069,8.08,1.754,2,FALSE,1,2,2
Al_Ajmi,2,25,1.44,1.083,1.08,1.115,1,TRUE,1,0,2
Al_Ajmi,2,25,1.44,1.083,1.48,1.085,2,TRUE,1,2,2
Al.Ahm_Al.Jar,1,13,60.348,21.54,74.312,11.36,1,FALSE,1,0,2
Al.Ahm_Al.Jar,1,13,60.348,21.54,68.874,14.98,2,FALSE,1,8,2
Al.Ahm_Al.Jar,2,13,82.924,11.38,88.662,11.8,1,FALSE,1,0,2
Al.Ahm_Al.Jar,2,13,82.924,11.38,90.29,8.4,2,FALSE,1,8,2
Al.Ahm_Al.Jar,3,13,28.899,13.88,32.521,18.85,1,TRUE,1,0,2
Al.Ahm_Al.Jar,3,13,28.899,13.88,39.895,20.84,2,TRUE,1,8,2
Bitc_Knch_a,1,17,67.59,19.26,82.53,14.33,1,FALSE,1,0,1
Bitc_Knch_a,1,17,67.59,19.26,82.65,15.47,2,FALSE,1,7,1
Bitc_Knch_a,2,18,53.11,21.73,77.5,16.07,1,FALSE,1,0,1
Bitc_Knch_a,2,18,53.11,21.73,76.78,20.67,2,FALSE,1,7,1
Bitc_Knch_a,3,20,59.35,18.39,81.25,13,1,FALSE,1,0,1
Bitc_Knch_a,3,20,59.35,18.39,80.05,12.09,2,FALSE,1,7,1
Bitc_Knch_a,4,20,51.9,28.32,52.75,23.26,1,TRUE,1,0,1
Bitc_Knch_a,4,20,51.9,28.32,63.9,18.89,2,TRUE,1,7,1
Bitc_Knch_b,1,12,87.08,13.22,95.92,5.48,1,FALSE,1,0,1
Bitc_Knch_b,1,12,87.08,13.22,96.25,4,2,FALSE,1,9,1
Bitc_Knch_b,2,27,90.59,8.79,93.18,4.71,1,FALSE,1,0,1
Bitc_Knch_b,2,27,90.59,8.79,92.76,6.8,2,FALSE,1,9,1
Bitc_Knch_b,3,12,83.08,12.49,94.17,5.15,1,FALSE,1,0,1
Bitc_Knch_b,3,12,83.08,12.49,95.33,5.09,2,FALSE,1,9,1
Bitc_Knch_b,4,12,85.58,8.89,86.17,8.08,1,TRUE,1,0,1
Bitc_Knch_b,4,12,85.58,8.89,85.92,11.87,2,TRUE,1,9,1
Bitc_Knch_c,1,13,62.46,11.98,89.23,8.22,1,FALSE,1,0,1
Bitc_Knch_c,1,13,62.46,11.98,79.61,10.29,2,FALSE,1,6,1
Bitc_Knch_c,1,13,62.46,11.98,84.31,12.33,3,FALSE,1,24,1
